name,molecule_chembl_id,smiles,ic50_nM
CHEMBL570165,CHEMBL570165,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cccc(C(C)(C)C)c2)CCCN(C(=O)OCc2ccccc2)C1,3.3
CHEMBL4560400,CHEMBL4560400,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCCNC1=O,3.5
CHEMBL3936223,CHEMBL3936223,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC(C)C)C(C)C)C(=O)N[C@H](CO)C(C)C,3.6
CHEMBL3932378,CHEMBL3932378,COC(=O)[C@@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(C)C,3.7
CHEMBL4532529,CHEMBL4532529,CC[C@@H](C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC1=O,3.8
CHEMBL5408887,CHEMBL5408887,C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(-c4ccc5ncn(CC(F)(F)F)c5c4)c3Cl)CC2=O)CCO1,3.9
CHEMBL3954566,CHEMBL3954566,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC(C)C)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,3.9
CHEMBL2031142,CHEMBL2031142,CC(=O)N[C@@H](Cc1ccc(F)c(F)c1)[C@H](O)CN[C@H]1C[C@]2(C[C@@H](C)C2)Oc2ncc(CC(C)(C)C)cc21,4.0
CHEMBL2030996,CHEMBL2030996,CC(=O)N[C@@H](Cc1cccc(F)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,4.0
CHEMBL4754691,CHEMBL4754691,CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F,4.0
CHEMBL3898404,CHEMBL3898404,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)CC(C)C)C(C)C)C(=O)N[C@H](C(=O)O)C(C)C,4.1
CHEMBL4569563,CHEMBL4569563,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccc(Cl)c(Cl)c2)NC(=O)CCCCCCCCCCCNC1=O,4.2
CHEMBL2407487,CHEMBL2407487,CC(C)(C)Cc1cnc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCCCC(=O)N1)CC1(CCC1)O2,4.3
CHEMBL2151151,CHEMBL2151151,CC(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ncc(CC(C)(C)C)cc21,4.5
CHEMBL4551750,CHEMBL4551750,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccc(F)cc2)NC(=O)CCCCCCCCCCCNC1=O,4.7
CHEMBL5179569,CHEMBL5179569,CC(C)C[C@H](NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,4.89
CHEMBL2408753,CHEMBL2408753,COC[C@@]1(C)C[C@H](NC[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(C)=O)c2cc(CC(C)(C)C)ccc2O1,5.0
CHEMBL4751867,CHEMBL4751867,CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(Cl)c2)c1.O=C(O)C(F)(F)F,5.0
CHEMBL2031000,CHEMBL2031000,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1C[C@]2(CC[C@@H]2C)Oc2ncc(CC(C)(C)C)cc21,5.0
CHEMBL3961449,CHEMBL3961449,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(=O)N[C@H](C(=O)OC)C(C)C,5.1
CHEMBL4163078,CHEMBL4163078,CC[C@H](C)[C@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCC(N)=O)N(C)C(=O)[C@H](CC(C)C)NC(=O)[C@H](C)OC(=O)[C@H](Cc1ccccc1)N(C)C)C(=O)N[C@@H](C)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC,5.5
CHEMBL3901700,CHEMBL3901700,COC(=O)[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(C)C,5.7
CHEMBL4576319,CHEMBL4576319,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC1=O,5.8
CHEMBL2181011,CHEMBL2181011,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)c1cc(C(=O)N[C@H](C)c2ccccc2)cc(N(C)S(C)(=O)=O)c1,5.84
CHEMBL2408755,CHEMBL2408755,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC2(CC2)Oc2ccc(CC(C)(C)C)cc21,6.0
CHEMBL78946,CHEMBL78946,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)C[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,6.0
CHEMBL3928780,CHEMBL3928780,CC[C@H](C)[C@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)C(=O)N[C@H](CO)C(C)C,6.2
CHEMBL2407496,CHEMBL2407496,C=CCCCC(=O)N[C@@H](Cc1cccc(CC=C)c1)[C@H](O)CN[C@H]1CC2(CCC2)Oc2ccc(CC)cc21,6.3
CHEMBL4783048,CHEMBL4783048,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)Nc2cc(S(N)(=O)=O)ccc2C)cc1OC.O=C(O)C(F)(F)F,7.0
GRASSYSTATIN B,CHEMBL568553,CC[C@H](NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](OC(=O)[C@@H](OC(=O)[C@H](C(C)C)N(C)C)C(C)C)C(C)C)[C@@H](C)O)C(=O)N(C)[C@H](Cc1ccccc1)C(=O)N1CCC[C@H]1C(=O)OC,7.3
CHEMBL2181013,CHEMBL2181013,COC(=O)[C@@H]1CCCN1C(=O)[C@@H](Cc1ccccc1)N(C)C(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(C)=O,7.81
CHEMBL4779266,CHEMBL4779266,CCN(CC)S(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2ccc(OC)c(OC)c2)c1.O=C(O)C(F)(F)F,8.0
CHEMBL2408757,CHEMBL2408757,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CC(C)(C)Oc2ccc(CC(C)(C)C#N)cc21,8.0
CHEMBL2031140,CHEMBL2031140,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1C[C@]2(C[C@@H](C)C2)Oc2ncc(CC(C)(C)C)cc21,8.0
CHEMBL2408760,CHEMBL2408760,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CN[C@H]1CCCc2ccc(CC(C)(C)C)cc21,8.0
CHEMBL4794632,CHEMBL4794632,CCCC[C@@H](NC(=N)NC(=O)Cc1ccc(OC)c(OC)c1)C(=O)Nc1cc(S(N)(=O)=O)ccc1C.O=C(O)C(F)(F)F,8.0
CHEMBL2031144,CHEMBL2031144,CC(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)CN[C@H]1C[C@]2(C[C@@H](F)C2)Oc2ncc(CC(C)(C)C)cc21,8.0
CHEMBL1257185,CHEMBL1257185,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cn(C34CC5CC(CC(C5)C3)C4)nn2)CCCCC1,8.0
CHEMBL2407490,CHEMBL2407490,CCc1ccc2c(c1)[C@@H](NC[C@@H](O)[C@@H]1Cc3cccc(c3)CCCCn3cc(cc(N4CCCC4)c3=O)C(=O)N1)CC1(CCC1)O2,8.1
CHEMBL4561907,CHEMBL4561907,O=C1C[C@H](O)[C@H](Cc2ccccc2)NC(=O)CCCCCCCCCCCNC(=O)[C@H](C2CCCCC2)N1,8.2
CHEMBL3321939,CHEMBL3321939,COc1cc(CNC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2cc(OC)c(OC)cc2Br)ccc1F,8.6
CHEMBL1258467,CHEMBL1258467,CC(=O)N[C@@H](Cc1cc(F)cc(F)c1)[C@H](O)CNC1(c2cc(CC(C)(C)C)cs2)CCCCC1,9.0
CHEMBL1097361,CHEMBL1097361,CCCCNC(=O)[C@H](C)C[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,9.0
CHEMBL4791638,CHEMBL4791638,COc1ccc(CC(=O)NC(=N)N[C@@H](C(=O)Nc2cc(S(N)(=O)=O)ccc2C)C2CCCCC2)cc1OC.O=C(O)C(F)(F)F,9.0
CHEMBL404394,CHEMBL404394,Cc1cccc(C(=O)NNc2c3ccccc3nc3c(C)c(C)ccc23)c1,9.0
CHEMBL4583528,CHEMBL4583528,CC(C)[C@@H]1NC(=O)C[C@H](O)[C@H](CC2CCCCC2)NC(=O)CCCCCCCCCCCNC1=O,9.0
CHEMBL3982565,CHEMBL3982565,CCC(CC)NC(=O)[C@@H](NC(=O)C[C@H](N)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)CC(C)C)C(C)C)[C@@H](C)CC,9.9
CHEMBL191344,CHEMBL191344,CCCCNC(=O)[C@@H](NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O)C(C)C,10.0
CHEMBL210240,CHEMBL210240,CCCCNC(=O)[C@H](C)C[C@H](O)[C@@H]1CSC/C=C/CS[C@H]2CCCN[C@H]2C(=O)N[C@@H](C)C(=O)N1,10.0
CHEMBL4792649,CHEMBL4792649,CNS(=O)(=O)c1ccc(C)c(NC(=O)[C@@H](CC2CCCCC2)NC(=N)NC(=O)Cc2cc(Cl)cc(OC)c2)c1.O=C(O)C(F)(F)F,10.0
CARBOCYCLIC PEPTIDOMIMETIC,CHEMBL434943,CC(C)C[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](N)CCC(=O)O)C(C)C)[C@@H](O)[C@@H]1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1ccccc1)C(=O)O,10.0
CHEMBL192836,CHEMBL192836,CCCCNC(=O)[C@H](C)NC(=O)[C@@H]1CCC[C@H]1[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(C)=O,10.0
CHEMBL5433528,CHEMBL5433528,C[C@H]1C[C@@H](N2C(=N)N[C@](C)(c3cccc(-c4cccc(Cl)c4)c3Cl)CC2=O)CCO1,10.8
CHEMBL5858277,CHEMBL5858277,COc1ccc(CC(=O)NC(=N)N[C@H](CC2CCCCC2)C(=O)N[C@H]2CCc3ccccc32)cc1OC,11.0
